CustomerID,Age,Gender,Region,SubscriptionType,TenureMonths,AvgMonthlyWatchHours,Churned,Cluster,PCA1,PCA2,SegmentName
CUST_0001,56,Female,West,Basic,1,4.2,0,3,0.35063336085123725,-2.276319015682741,Young High-Engagement
CUST_0002,69,Male,East,Standard,55,1.9,1,1,2.7579907439424374,-0.17077497510025175,At-Risk Mid-Tenure
CUST_0003,46,Male,West,Basic,56,41.5,0,2,0.27562398492294493,1.8691016581088995,New Low-Engagement Users
CUST_0004,32,Male,South,Premium,27,26.7,0,3,-0.6531721971620965,-0.08764236423610192,Young High-Engagement
CUST_0005,60,Male,North,Premium,46,39.0,0,0,0.6051892987932116,1.346397924553573,Loyal Heavy Users
CUST_0006,25,Male,West,Standard,8,12.5,0,3,-0.9933775951061851,-1.5974242671547614,Young High-Engagement
CUST_0007,38,Male,West,Standard,51,17.9,0,2,0.7386942061318105,0.4511896213453935,New Low-Engagement Users
CUST_0008,56,Male,West,Basic,46,2.5,1,1,1.913839920472906,-0.5216154550156321,At-Risk Mid-Tenure
CUST_0009,36,Male,West,Standard,42,48.1,0,2,-0.8558480823709567,1.6230931608245343,New Low-Engagement Users
CUST_0010,40,Female,North,Premium,17,33.7,0,3,-0.946424735154424,-0.1312879508748586,Young High-Engagement
CUST_0011,28,Female,North,Standard,9,46.7,0,3,-2.216325740875207,0.19304315927745994,Young High-Engagement
CUST_0012,28,Female,South,Basic,6,14.0,1,3,-0.9999400815058732,-1.5996275559714548,Young High-Engagement
CUST_0013,41,Female,North,Standard,43,31.0,0,2,0.06597507897780144,0.7958320250319456,New Low-Engagement Users
CUST_0014,53,Female,West,Premium,25,34.2,0,0,-0.17976183709748458,0.23480400676291263,Loyal Heavy Users
CUST_0015,57,Male,South,Basic,39,16.6,0,1,1.1539316402767612,-0.08701033632864641,At-Risk Mid-Tenure
CUST_0016,41,Female,South,Basic,49,42.6,0,2,-0.20157124988134922,1.6337492059524006,New Low-Engagement Users
CUST_0017,20,Female,South,Standard,28,47.4,0,2,-1.9340082649108001,0.998211074529231,New Low-Engagement Users
CUST_0018,39,Female,West,Premium,33,44.4,0,2,-0.885654998899578,1.0688812045488114,New Low-Engagement Users
CUST_0019,19,Male,East,Basic,54,37.2,0,2,-0.6999256797380736,1.5402985369145699,New Low-Engagement Users
CUST_0020,41,Male,West,Basic,37,14.6,0,1,0.5267013325845669,-0.2872085090106543,At-Risk Mid-Tenure
CUST_0021,61,Male,North,Basic,9,14.8,0,0,0.39017005507448443,-1.402555766256246,Loyal Heavy Users
CUST_0022,47,Male,North,Basic,18,48.2,0,0,-1.2162085503498166,0.6572069289881209,Loyal Heavy Users
CUST_0023,55,Female,West,Standard,56,1.5,0,1,2.2461805673524773,-0.1644702170357947,At-Risk Mid-Tenure
CUST_0024,19,Female,West,Standard,59,36.1,0,2,-0.48956765036042427,1.688737555331249,New Low-Engagement Users
CUST_0025,38,Male,South,Standard,21,35.6,0,3,-0.9701825461129445,0.12740326494027948,Young High-Engagement
CUST_0026,50,Other,West,Standard,2,31.5,0,0,-0.955342519292497,-0.8473391435701164,Loyal Heavy Users
CUST_0027,29,Female,South,Basic,58,49.5,0,2,-0.6612748260505469,2.3422539967697062,New Low-Engagement Users
CUST_0028,39,Male,North,Premium,43,16.3,0,1,0.5774277371397252,0.04311448182726268,At-Risk Mid-Tenure
CUST_0029,61,Male,South,Standard,59,17.7,0,1,1.9343334834360097,0.7916707946600888,At-Risk Mid-Tenure
CUST_0030,42,Male,West,Premium,38,4.9,1,1,0.9903837205254593,-0.7406256906094978,At-Risk Mid-Tenure
CUST_0031,66,Male,North,Standard,58,22.7,0,1,1.9002890226100966,1.0111531824645077,At-Risk Mid-Tenure
CUST_0032,44,Male,East,Basic,40,13.8,1,1,0.7787918567494316,-0.202253617691205,At-Risk Mid-Tenure
CUST_0033,59,Male,South,Standard,36,17.8,0,1,1.0861449424937115,-0.1464700958842985,At-Risk Mid-Tenure
CUST_0034,45,Male,North,Basic,50,41.9,0,2,0.020140071224235414,1.6429792228597497,New Low-Engagement Users
CUST_0035,33,Male,South,Standard,43,46.8,0,2,-0.8905522854936831,1.5945872986532161,New Low-Engagement Users
CUST_0036,32,Female,North,Basic,37,10.1,0,1,0.3470836358360463,-0.5261343867691786,At-Risk Mid-Tenure
CUST_0037,64,Male,North,Basic,15,19.3,0,0,0.5286103236376506,-0.9241759670934595,Loyal Heavy Users
CUST_0038,68,Female,South,Premium,28,46.5,0,0,0.026073644042894376,1.0009050282535668,Loyal Heavy Users
CUST_0039,61,Male,East,Basic,18,4.0,1,1,1.1237826196779954,-1.5857796944681652,At-Risk Mid-Tenure
CUST_0040,69,Other,North,Premium,34,5.5,0,1,1.9155377545651788,-0.8463075649887594,At-Risk Mid-Tenure
CUST_0041,20,Male,North,Basic,22,9.0,0,3,-0.5878740228774672,-1.208311494656533,Young High-Engagement
CUST_0042,54,Male,North,Standard,11,30.2,0,0,-0.44374349966334736,-0.5413685535248954,Loyal Heavy Users
CUST_0043,68,Other,East,Standard,58,8.4,0,1,2.5559650764650117,0.2829171338895649,At-Risk Mid-Tenure
CUST_0044,24,Female,East,Standard,57,48.4,0,2,-0.8506241060645989,2.2400890853074955,New Low-Engagement Users
CUST_0045,38,Female,West,Basic,13,22.9,0,3,-0.7248008698149938,-0.8485332658068688,Young High-Engagement
CUST_0046,26,Male,South,Basic,4,25.6,1,3,-1.613387479672784,-1.0911186415972536,Young High-Engagement
CUST_0047,56,Male,East,Basic,22,13.1,0,1,0.6900136295315829,-0.9624443603719808,At-Risk Mid-Tenure
CUST_0048,35,Female,South,Basic,7,24.1,0,3,-1.0926422990159523,-1.0358290831371082,Young High-Engagement
CUST_0049,21,Female,West,Standard,43,33.4,0,2,-0.8322234971724711,0.8981209589118772,New Low-Engagement Users
CUST_0050,42,Female,South,Premium,54,37.8,0,2,0.1977767355114099,1.5942526101381498,New Low-Engagement Users
CUST_0051,31,Female,East,Premium,24,37.9,0,3,-1.243658363569147,0.3605306171438769,Young High-Engagement
CUST_0052,67,Male,South,Standard,4,29.3,0,0,-0.11899934675731645,-0.8606102677359282,Loyal Heavy Users
CUST_0053,26,Female,East,Standard,28,45.3,0,2,-1.609009463700779,0.8970514303426348,New Low-Engagement Users
CUST_0054,43,Male,South,Standard,15,41.1,0,0,-1.1904375457230552,0.16780621518775105,Loyal Heavy Users
CUST_0055,19,Male,East,Basic,1,38.1,0,3,-2.4966757931652532,-0.5826399082177028,Young High-Engagement
CUST_0056,37,Male,East,Premium,55,3.7,1,1,1.4029744901197376,-0.11129010596927259,At-Risk Mid-Tenure
CUST_0057,45,Female,South,Standard,3,1.3,0,3,0.09289654645839367,-2.3537191352657962,Young High-Engagement
CUST_0058,64,Male,West,Standard,14,11.4,0,1,0.8133347571268357,-1.3685307764750905,At-Risk Mid-Tenure
CUST_0059,24,Male,North,Basic,38,33.5,0,2,-0.8820944168278976,0.7016554866635891,New Low-Engagement Users
CUST_0060,61,Female,West,Standard,50,21.1,0,1,1.4985399694850716,0.5969962201420347,At-Risk Mid-Tenure
CUST_0061,25,Male,South,Standard,57,20.7,0,2,0.3042654736885845,0.8265367054658412,New Low-Engagement Users
CUST_0062,64,Female,West,Premium,1,44.3,0,0,-0.9425804816338748,-0.22040857273569925,Loyal Heavy Users
CUST_0063,52,Male,East,Standard,38,44.9,0,0,-0.2186446788164312,1.3122052900822803,Loyal Heavy Users
CUST_0064,31,Female,North,Basic,38,45.5,0,2,-1.0844812138751718,1.3215593294073507,New Low-Engagement Users
CUST_0065,34,Female,South,Premium,21,16.4,0,3,-0.35778456987777846,-0.8571446960845285,Young High-Engagement
CUST_0066,53,Male,South,Basic,48,34.9,0,0,0.5560691883425647,1.2117715152262098,Loyal Heavy Users
CUST_0067,67,Male,South,Standard,29,14.3,1,1,1.3151260678605843,-0.6035551453734449,At-Risk Mid-Tenure
CUST_0068,57,Male,North,Basic,5,10.3,1,3,0.2780844078050236,-1.8001039544835549,Young High-Engagement
CUST_0069,21,Male,East,Standard,49,10.0,0,2,0.30883379191973576,-0.051319643349974665,New Low-Engagement Users
CUST_0070,19,Other,South,Premium,10,17.8,0,3,-1.380727960832088,-1.2510038061505337,Young High-Engagement
CUST_0071,23,Male,West,Basic,28,22.1,0,3,-0.7955477861537777,-0.29075235448323655,Young High-Engagement
CUST_0072,59,Female,South,Premium,21,41.7,1,0,-0.3739929893477498,0.4602005726815366,Loyal Heavy Users
CUST_0073,21,Male,South,Basic,50,6.9,0,2,0.4668133526438346,-0.1687058515399258,New Low-Engagement Users
CUST_0074,46,Female,South,Premium,7,37.0,1,0,-1.1709286091981113,-0.3659100631467164,Loyal Heavy Users
CUST_0075,35,Female,South,Standard,3,27.0,0,3,-1.342225274182693,-1.0514242200982153,Young High-Engagement
CUST_0076,43,Female,East,Premium,45,15.1,0,1,0.8524794930644504,0.06773344015248939,At-Risk Mid-Tenure
CUST_0077,61,Male,West,Basic,47,25.1,0,1,1.2379041208882666,0.6784978089728532,At-Risk Mid-Tenure
CUST_0078,51,Male,East,Premium,20,15.7,1,1,0.31853729819998006,-0.9165826445039724,At-Risk Mid-Tenure
CUST_0079,27,Male,West,Standard,19,30.2,1,3,-1.260174920331462,-0.24135576386629598,Young High-Engagement
CUST_0080,53,Female,South,Basic,35,22.3,0,1,0.631338652918619,0.03632860082860274,At-Risk Mid-Tenure
CUST_0081,31,Female,North,Premium,4,9.1,0,3,-0.748929334908742,-1.9286619822843416,Young High-Engagement
CUST_0082,48,Other,East,Basic,5,6.7,0,3,0.062245475166325205,-1.993069203531677,Young High-Engagement
CUST_0083,65,Male,North,Premium,1,27.8,0,0,-0.2384440596251259,-1.0620064619590153,Loyal Heavy Users
CUST_0084,32,Female,East,Basic,4,45.2,0,3,-2.161722921592605,-0.08411646021081957,Young High-Engagement
CUST_0085,25,Female,South,Standard,12,17.9,0,3,-1.077834906482195,-1.1579699987532786,Young High-Engagement
CUST_0086,31,Male,East,Standard,27,36.9,0,2,-1.1037599679396013,0.432231124014399,New Low-Engagement Users
CUST_0087,40,Male,South,Basic,56,33.3,0,2,0.36515710556718056,1.4442674403875597,New Low-Engagement Users
CUST_0088,57,Female,East,Basic,42,46.6,0,0,0.046209688577961504,1.5677784927890617,Loyal Heavy Users
CUST_0089,38,Female,South,Basic,23,41.2,0,0,-1.1291240730026333,0.49522575831898347,Loyal Heavy Users
CUST_0090,33,Female,South,Standard,25,28.8,0,3,-0.7640430355328832,-0.06123250818064129,Young High-Engagement
CUST_0091,62,Male,West,Basic,21,33.2,0,0,0.0883377527926212,0.029168879596576013,Loyal Heavy Users
CUST_0092,35,Female,South,Standard,58,45.0,0,2,-0.23968606246671836,2.1185326760220375,New Low-Engagement Users
CUST_0093,64,Male,West,Basic,52,20.6,0,1,1.7053392223619461,0.6563486969968505,At-Risk Mid-Tenure
CUST_0094,41,Male,South,Basic,24,17.0,0,3,-0.0017164676756748823,-0.6966409449015587,Young High-Engagement
CUST_0095,43,Male,North,Standard,25,1.5,0,1,0.7354720933574086,-1.4452352077222703,At-Risk Mid-Tenure
CUST_0096,42,Female,South,Basic,45,41.5,0,2,-0.2500905237362542,1.4148982451902294,New Low-Engagement Users
CUST_0097,62,Female,North,Premium,55,40.2,0,0,0.936012912905332,1.7780096534151306,Loyal Heavy Users
CUST_0098,58,Female,North,Premium,46,6.1,0,1,1.8491158382898412,-0.3357456659059091,At-Risk Mid-Tenure
CUST_0099,46,Male,South,Standard,32,29.3,1,0,-0.030597663467208006,0.2639368254223625,Loyal Heavy Users
CUST_0100,32,Female,North,Standard,55,23.7,1,2,0.39765598356055964,0.9049890130360461,New Low-Engagement Users
CUST_0101,62,Male,West,Premium,32,6.8,0,1,1.5162201248084086,-0.8688606981927793,At-Risk Mid-Tenure
CUST_0102,18,Female,East,Basic,5,49.0,0,3,-2.842565532336728,0.136671231835514,Young High-Engagement
CUST_0103,42,Male,South,Basic,36,11.5,0,1,0.6583262720149604,-0.48542632813608333,At-Risk Mid-Tenure
CUST_0104,24,Male,North,Basic,46,4.3,1,2,0.5588236666502057,-0.46213058588465294,New Low-Engagement Users
CUST_0105,26,Male,South,Standard,42,30.1,0,2,-0.5322276714556339,0.6937442152759203,New Low-Engagement Users
CUST_0106,41,Male,West,Basic,49,37.2,0,2,0.015756165459717364,1.3579854336899875,New Low-Engagement Users
CUST_0107,18,Female,South,Standard,42,2.6,0,2,0.2538888685669895,-0.7187174257254912,New Low-Engagement Users
CUST_0108,61,Female,South,Premium,58,33.3,0,1,1.2732812020149977,1.5473990682722925,At-Risk Mid-Tenure
CUST_0109,25,Male,North,Premium,39,27.1,0,2,-0.5512232271509906,0.4167606103362204,New Low-Engagement Users
CUST_0110,41,Female,West,Standard,16,6.1,0,3,0.17122273684192005,-1.5806562182279023,Young High-Engagement
CUST_0111,28,Male,East,Basic,33,9.5,0,3,0.0780392997091484,-0.7245198505847446,Young High-Engagement
