CustomerID,CSAT_Score,NPS_Category,NPS_Score_Numeric,Open_Ended_Feedback,Survey_Date
CUST_0001,5,Passive,5,"No feedback, everything seems to be working fine.",2024-11-29
CUST_0002,3,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-12
CUST_0003,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-05-08
CUST_0004,4,Passive,5,"No feedback, everything seems to be working fine.",2024-02-08
CUST_0005,3,Promoter,10,Subscription price is too high for what's offered.,2024-08-04
CUST_0006,2,Detractor,0,The streaming quality was terrible during the last game.,2024-06-02
CUST_0007,5,Passive,5,"No feedback, everything seems to be working fine.",2024-05-13
CUST_0008,1,Detractor,0,"The app keeps crashing, please fix it.",2024-05-28
CUST_0009,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-22
CUST_0010,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-05-26
CUST_0011,2,Promoter,10,I love the new commentator! Great addition to the team.,2024-12-02
CUST_0012,2,Detractor,0,"No feedback, everything seems to be working fine.",2024-06-04
CUST_0013,3,Detractor,0,I love the new commentator! Great addition to the team.,2024-11-13
CUST_0014,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-14
CUST_0015,5,Passive,5,I love the new commentator! Great addition to the team.,2024-04-30
CUST_0016,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-20
CUST_0017,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-02-22
CUST_0018,3,Promoter,10,"No feedback, everything seems to be working fine.",2024-04-08
CUST_0019,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-07-21
CUST_0020,1,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-23
CUST_0021,2,Detractor,0,Subscription price is too high for what's offered.,2024-03-22
CUST_0022,5,Detractor,0,Wish there were more pre-game analysis segments.,2024-10-29
CUST_0023,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-09
CUST_0024,4,Promoter,10,"No feedback, everything seems to be working fine.",2024-10-20
CUST_0025,1,Detractor,0,I love the new commentator! Great addition to the team.,2024-05-11
CUST_0026,2,Promoter,10,Wish there were more pre-game analysis segments.,2024-05-23
CUST_0027,5,Passive,5,I love the new commentator! Great addition to the team.,2024-08-26
CUST_0028,4,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-06
CUST_0029,3,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-12-30
CUST_0030,1,Promoter,10,Wish there were more pre-game analysis segments.,2024-12-10
