CustomerID,CSAT_Score,NPS_Category,NPS_Score_Numeric,Open_Ended_Feedback,Survey_Date
CUST_0001,3,Promoter,9,Fantastic app experience.,12/03/2024
CUST_0002,2,Passive,7,Neutral experience overall.,02/08/2024
CUST_0003,5,Promoter,10,"Great coverage, worth every cent.",09/04/2024
CUST_0004,5,Promoter,9,"Great coverage, worth every cent.",14/09/2024
CUST_0005,2,Passive,8,Streaming quality is inconsistent.,10/07/2024
CUST_0006,4,Detractor,0,Frequent buffering ruins the experience.,09/11/2024
CUST_0007,1,Passive,8,"Service is okay, could be improved.",18/02/2024
CUST_0008,2,Passive,7,"Service is okay, could be improved.",06/07/2024
CUST_0009,3,Promoter,10,Fantastic app experience.,29/12/2024
CUST_0010,1,Passive,8,Content is fine but needs more variety.,10/05/2024
CUST_0011,5,Detractor,6,Content is repetitive and boring.,24/11/2024
CUST_0012,1,Promoter,10,"Great coverage, worth every cent.",11/11/2024
CUST_0013,1,Passive,8,Neutral experience overall.,11/12/2024
CUST_0014,4,Promoter,10,"Great coverage, worth every cent.",20/09/2024
CUST_0015,1,Promoter,10,"Great coverage, worth every cent.",19/02/2024
CUST_0016,2,Passive,8,"Service is okay, could be improved.",16/09/2024
CUST_0017,2,Promoter,9,Love the commentary and highlights.,05/08/2024
CUST_0018,4,Promoter,10,"Great coverage, worth every cent.",26/09/2024
CUST_0019,4,Passive,7,Content is fine but needs more variety.,08/07/2024
CUST_0020,5,Promoter,10,"Amazing service, I watch every week!",03/12/2024
CUST_0021,2,Passive,8,Streaming quality is inconsistent.,04/08/2024
CUST_0022,5,Promoter,10,"Great coverage, worth every cent.",10/02/2024
CUST_0023,1,Promoter,9,"Amazing service, I watch every week!",10/12/2024
CUST_0024,4,Detractor,0,Content is repetitive and boring.,15/05/2024
CUST_0025,3,Promoter,9,"Great coverage, worth every cent.",21/03/2024
CUST_0026,1,Passive,7,Streaming quality is inconsistent.,17/09/2024
CUST_0027,1,Detractor,1,Too expensive for the value.,28/01/2024
CUST_0028,2,Detractor,3,Too expensive for the value.,02/02/2024
CUST_0029,5,Promoter,9,"Great coverage, worth every cent.",08/04/2024
CUST_0030,3,Passive,8,"Service is okay, could be improved.",04/02/2024
CUST_0031,3,Promoter,9,Fantastic app experience.,13/09/2024
CUST_0032,3,Passive,7,Content is fine but needs more variety.,25/07/2024
CUST_0033,4,Promoter,10,Love the commentary and highlights.,27/06/2024
CUST_0034,1,Promoter,9,Love the commentary and highlights.,21/02/2024
CUST_0035,5,Passive,8,Neutral experience overall.,18/08/2024
CUST_0036,5,Promoter,9,Fantastic app experience.,05/02/2024
CUST_0037,3,Detractor,6,Content is repetitive and boring.,30/08/2024
CUST_0038,2,Promoter,10,"Amazing service, I watch every week!",14/02/2024
CUST_0039,4,Promoter,9,Fantastic app experience.,28/01/2024
CUST_0040,3,Promoter,10,"Great coverage, worth every cent.",07/05/2024
CUST_0041,1,Detractor,3,Frequent buffering ruins the experience.,18/08/2024
CUST_0042,1,Detractor,0,Too expensive for the value.,09/10/2024
