CustomerID,CSAT_Score,NPS_Category,NPS_Score_Numeric,Open_Ended_Feedback,Survey_Date,survey_month,feedback_clean,sentiment_compound,sentiment_label
CUST_0001,5,Passive,5,"No feedback, everything seems to be working fine.",2024-11-29,2024-11,no feedback everything seems to be working fine,-0.1027,negative
CUST_0002,3,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-12,2024-04,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0003,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-05-08,2024-05,no feedback everything seems to be working fine,-0.1027,negative
CUST_0004,4,Passive,5,"No feedback, everything seems to be working fine.",2024-02-08,2024-02,no feedback everything seems to be working fine,-0.1027,negative
CUST_0005,3,Promoter,10,Subscription price is too high for what's offered.,2024-08-04,2024-08,subscription price is too high for what s offered,0.0,neutral
CUST_0006,2,Detractor,0,The streaming quality was terrible during the last game.,2024-06-02,2024-06,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0007,5,Passive,5,"No feedback, everything seems to be working fine.",2024-05-13,2024-05,no feedback everything seems to be working fine,-0.1027,negative
CUST_0008,1,Detractor,0,"The app keeps crashing, please fix it.",2024-05-28,2024-05,the app keeps crashing please fix it,0.3182,positive
CUST_0009,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-22,2024-04,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0010,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-05-26,2024-05,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0011,2,Promoter,10,I love the new commentator! Great addition to the team.,2024-12-02,2024-12,i love the new commentator great addition to the team,0.8519,positive
CUST_0012,2,Detractor,0,"No feedback, everything seems to be working fine.",2024-06-04,2024-06,no feedback everything seems to be working fine,-0.1027,negative
CUST_0013,3,Detractor,0,I love the new commentator! Great addition to the team.,2024-11-13,2024-11,i love the new commentator great addition to the team,0.8519,positive
CUST_0014,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-14,2024-09,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0015,5,Passive,5,I love the new commentator! Great addition to the team.,2024-04-30,2024-04,i love the new commentator great addition to the team,0.8519,positive
CUST_0016,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-20,2024-08,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0017,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-02-22,2024-02,no feedback everything seems to be working fine,-0.1027,negative
CUST_0018,3,Promoter,10,"No feedback, everything seems to be working fine.",2024-04-08,2024-04,no feedback everything seems to be working fine,-0.1027,negative
CUST_0019,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-07-21,2024-07,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0020,1,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-23,2024-09,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0021,2,Detractor,0,Subscription price is too high for what's offered.,2024-03-22,2024-03,subscription price is too high for what s offered,0.0,neutral
CUST_0022,5,Detractor,0,Wish there were more pre-game analysis segments.,2024-10-29,2024-10,wish there were more pre game analysis segments,0.4019,positive
CUST_0023,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-09,2024-08,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0024,4,Promoter,10,"No feedback, everything seems to be working fine.",2024-10-20,2024-10,no feedback everything seems to be working fine,-0.1027,negative
CUST_0025,1,Detractor,0,I love the new commentator! Great addition to the team.,2024-05-11,2024-05,i love the new commentator great addition to the team,0.8519,positive
CUST_0026,2,Promoter,10,Wish there were more pre-game analysis segments.,2024-05-23,2024-05,wish there were more pre game analysis segments,0.4019,positive
CUST_0027,5,Passive,5,I love the new commentator! Great addition to the team.,2024-08-26,2024-08,i love the new commentator great addition to the team,0.8519,positive
CUST_0028,4,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-06,2024-02,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0029,3,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-12-30,2024-12,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0030,1,Promoter,10,Wish there were more pre-game analysis segments.,2024-12-10,2024-12,wish there were more pre game analysis segments,0.4019,positive
CUST_0031,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-22,2024-10,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0032,3,Promoter,10,The streaming quality was terrible during the last game.,2024-11-01,2024-11,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0033,2,Detractor,0,I love the new commentator! Great addition to the team.,2024-02-01,2024-02,i love the new commentator great addition to the team,0.8519,positive
CUST_0034,3,Promoter,10,Wish there were more pre-game analysis segments.,2024-08-01,2024-08,wish there were more pre game analysis segments,0.4019,positive
CUST_0035,1,Passive,5,"No feedback, everything seems to be working fine.",2024-12-28,2024-12,no feedback everything seems to be working fine,-0.1027,negative
CUST_0036,3,Detractor,0,"No feedback, everything seems to be working fine.",2024-03-10,2024-03,no feedback everything seems to be working fine,-0.1027,negative
CUST_0037,1,Passive,5,"The app keeps crashing, please fix it.",2024-10-28,2024-10,the app keeps crashing please fix it,0.3182,positive
CUST_0038,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-23,2024-11,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0039,3,Detractor,0,"No feedback, everything seems to be working fine.",2024-05-19,2024-05,no feedback everything seems to be working fine,-0.1027,negative
CUST_0040,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-21,2024-04,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0041,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-29,2024-11,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0042,4,Detractor,0,I love the new commentator! Great addition to the team.,2024-01-16,2024-01,i love the new commentator great addition to the team,0.8519,positive
CUST_0043,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-17,2024-02,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0044,1,Promoter,10,Wish there were more pre-game analysis segments.,2024-09-04,2024-09,wish there were more pre game analysis segments,0.4019,positive
CUST_0045,1,Detractor,0,The streaming quality was terrible during the last game.,2024-02-17,2024-02,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0046,4,Passive,5,"No feedback, everything seems to be working fine.",2024-01-24,2024-01,no feedback everything seems to be working fine,-0.1027,negative
CUST_0047,3,Detractor,0,I love the new commentator! Great addition to the team.,2024-05-08,2024-05,i love the new commentator great addition to the team,0.8519,positive
CUST_0048,5,Promoter,10,I love the new commentator! Great addition to the team.,2024-12-13,2024-12,i love the new commentator great addition to the team,0.8519,positive
CUST_0049,2,Passive,5,I love the new commentator! Great addition to the team.,2024-09-08,2024-09,i love the new commentator great addition to the team,0.8519,positive
CUST_0050,3,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-02-27,2024-02,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0051,3,Promoter,10,Wish there were more pre-game analysis segments.,2024-12-28,2024-12,wish there were more pre game analysis segments,0.4019,positive
CUST_0052,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-08-12,2024-08,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0053,2,Promoter,10,Subscription price is too high for what's offered.,2024-12-29,2024-12,subscription price is too high for what s offered,0.0,neutral
CUST_0054,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-05-26,2024-05,no feedback everything seems to be working fine,-0.1027,negative
CUST_0055,5,Passive,5,The streaming quality was terrible during the last game.,2024-10-05,2024-10,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0056,5,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-03-02,2024-03,i m happy with the service but i would love to be able to pause and rewind live streams,0.8462,positive
CUST_0057,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-06-24,2024-06,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0058,5,Detractor,0,The streaming quality was terrible during the last game.,2024-11-03,2024-11,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0059,4,Detractor,0,"The app keeps crashing, please fix it.",2024-03-21,2024-03,the app keeps crashing please fix it,0.3182,positive
CUST_0060,5,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-09-28,2024-09,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0061,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-08,2024-01,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0062,4,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-07,2024-01,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0063,2,Detractor,0,Subscription price is too high for what's offered.,2024-01-24,2024-01,subscription price is too high for what s offered,0.0,neutral
CUST_0064,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-06-22,2024-06,no feedback everything seems to be working fine,-0.1027,negative
CUST_0065,1,Passive,5,"No feedback, everything seems to be working fine.",2024-11-09,2024-11,no feedback everything seems to be working fine,-0.1027,negative
CUST_0066,1,Passive,5,Wish there were more pre-game analysis segments.,2024-07-01,2024-07,wish there were more pre game analysis segments,0.4019,positive
CUST_0067,5,Promoter,10,The streaming quality was terrible during the last game.,2024-08-21,2024-08,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0068,1,Promoter,10,Subscription price is too high for what's offered.,2024-01-20,2024-01,subscription price is too high for what s offered,0.0,neutral
CUST_0069,5,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-27,2024-11,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0070,4,Detractor,0,Wish there were more pre-game analysis segments.,2024-06-16,2024-06,wish there were more pre game analysis segments,0.4019,positive
CUST_0071,2,Promoter,10,"No feedback, everything seems to be working fine.",2024-08-11,2024-08,no feedback everything seems to be working fine,-0.1027,negative
CUST_0072,1,Detractor,0,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-09-10,2024-09,i wish there was an option to remove spoilers from my feed it s so frustrating to have the final scores pop up before i can watch the game,-0.2596,negative
CUST_0073,5,Passive,5,Subscription price is too high for what's offered.,2024-03-28,2024-03,subscription price is too high for what s offered,0.0,neutral
CUST_0074,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-02-24,2024-02,no feedback everything seems to be working fine,-0.1027,negative
CUST_0075,4,Detractor,0,Subscription price is too high for what's offered.,2024-08-27,2024-08,subscription price is too high for what s offered,0.0,neutral
CUST_0076,2,Passive,5,"No feedback, everything seems to be working fine.",2024-07-27,2024-07,no feedback everything seems to be working fine,-0.1027,negative
CUST_0077,5,Detractor,0,"No feedback, everything seems to be working fine.",2024-01-14,2024-01,no feedback everything seems to be working fine,-0.1027,negative
CUST_0078,3,Promoter,10,"No feedback, everything seems to be working fine.",2024-02-23,2024-02,no feedback everything seems to be working fine,-0.1027,negative
CUST_0079,3,Promoter,10,"No feedback, everything seems to be working fine.",2024-07-07,2024-07,no feedback everything seems to be working fine,-0.1027,negative
CUST_0080,3,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-07,2024-01,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0081,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-12-28,2024-12,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0082,4,Detractor,0,The streaming quality was terrible during the last game.,2024-08-04,2024-08,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0083,1,Passive,5,The streaming quality was terrible during the last game.,2024-04-03,2024-04,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0084,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-04-09,2024-04,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0085,4,Passive,5,I love the new commentator! Great addition to the team.,2024-07-05,2024-07,i love the new commentator great addition to the team,0.8519,positive
CUST_0086,3,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-05-15,2024-05,i m happy with the service but i would love to be able to pause and rewind live streams,0.8462,positive
CUST_0087,5,Detractor,0,"The app keeps crashing, please fix it.",2024-08-07,2024-08,the app keeps crashing please fix it,0.3182,positive
CUST_0088,1,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-01-30,2024-01,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0089,4,Detractor,0,"The app keeps crashing, please fix it.",2024-05-23,2024-05,the app keeps crashing please fix it,0.3182,positive
CUST_0090,5,Detractor,0,The streaming quality was terrible during the last game.,2024-10-20,2024-10,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0091,5,Passive,5,The streaming quality was terrible during the last game.,2024-02-02,2024-02,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0092,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-03-16,2024-03,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0093,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-05-24,2024-05,no feedback everything seems to be working fine,-0.1027,negative
CUST_0094,2,Detractor,0,"No feedback, everything seems to be working fine.",2024-09-02,2024-09,no feedback everything seems to be working fine,-0.1027,negative
CUST_0095,1,Promoter,10,Subscription price is too high for what's offered.,2024-05-10,2024-05,subscription price is too high for what s offered,0.0,neutral
CUST_0096,4,Promoter,10,"The app keeps crashing, please fix it.",2024-08-21,2024-08,the app keeps crashing please fix it,0.3182,positive
CUST_0097,4,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-05-05,2024-05,i wish there was an option to remove spoilers from my feed it s so frustrating to have the final scores pop up before i can watch the game,-0.2596,negative
CUST_0098,3,Passive,5,Wish there were more pre-game analysis segments.,2024-12-06,2024-12,wish there were more pre game analysis segments,0.4019,positive
CUST_0099,1,Detractor,0,The streaming quality was terrible during the last game.,2024-03-05,2024-03,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0100,5,Promoter,10,"No feedback, everything seems to be working fine.",2024-10-04,2024-10,no feedback everything seems to be working fine,-0.1027,negative
CUST_0101,4,Passive,5,Subscription price is too high for what's offered.,2024-09-15,2024-09,subscription price is too high for what s offered,0.0,neutral
CUST_0102,4,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-06-18,2024-06,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0103,1,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-10-07,2024-10,i wish there was an option to remove spoilers from my feed it s so frustrating to have the final scores pop up before i can watch the game,-0.2596,negative
CUST_0104,3,Promoter,10,Subscription price is too high for what's offered.,2024-11-08,2024-11,subscription price is too high for what s offered,0.0,neutral
CUST_0105,2,Detractor,0,"No feedback, everything seems to be working fine.",2024-07-10,2024-07,no feedback everything seems to be working fine,-0.1027,negative
CUST_0106,2,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-30,2024-11,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0107,4,Promoter,10,"No feedback, everything seems to be working fine.",2024-11-09,2024-11,no feedback everything seems to be working fine,-0.1027,negative
CUST_0108,5,Promoter,10,"No feedback, everything seems to be working fine.",2024-06-30,2024-06,no feedback everything seems to be working fine,-0.1027,negative
CUST_0109,5,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-05-23,2024-05,i m happy with the service but i would love to be able to pause and rewind live streams,0.8462,positive
CUST_0110,5,Detractor,0,Subscription price is too high for what's offered.,2024-05-06,2024-05,subscription price is too high for what s offered,0.0,neutral
CUST_0111,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-02-27,2024-02,no feedback everything seems to be working fine,-0.1027,negative
CUST_0112,3,Passive,5,Subscription price is too high for what's offered.,2024-03-28,2024-03,subscription price is too high for what s offered,0.0,neutral
CUST_0113,5,Passive,5,"No feedback, everything seems to be working fine.",2024-01-10,2024-01,no feedback everything seems to be working fine,-0.1027,negative
CUST_0114,5,Promoter,10,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-05,2024-10,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0115,3,Passive,5,I love the new commentator! Great addition to the team.,2024-10-06,2024-10,i love the new commentator great addition to the team,0.8519,positive
CUST_0116,2,Promoter,10,The streaming quality was terrible during the last game.,2024-12-16,2024-12,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0117,5,Promoter,10,Subscription price is too high for what's offered.,2024-11-09,2024-11,subscription price is too high for what s offered,0.0,neutral
CUST_0118,1,Promoter,10,"No feedback, everything seems to be working fine.",2024-06-11,2024-06,no feedback everything seems to be working fine,-0.1027,negative
CUST_0119,4,Promoter,10,I'm happy with the service but I would love to be able to pause and rewind live streams.,2024-02-29,2024-02,i m happy with the service but i would love to be able to pause and rewind live streams,0.8462,positive
CUST_0120,1,Detractor,0,"Great coverage, I am a loyal fan and appreciate the service.",2024-10-25,2024-10,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0121,2,Promoter,10,I wish there was an option to remove spoilers from my feed. It's so frustrating to have the final scores pop up before I can watch the game.,2024-03-24,2024-03,i wish there was an option to remove spoilers from my feed it s so frustrating to have the final scores pop up before i can watch the game,-0.2596,negative
CUST_0122,5,Passive,5,"Great coverage, I am a loyal fan and appreciate the service.",2024-11-08,2024-11,great coverage i am a loyal fan and appreciate the service,0.9042,positive
CUST_0123,2,Promoter,10,The streaming quality was terrible during the last game.,2024-03-10,2024-03,the streaming quality was terrible during the last game,-0.4767,negative
CUST_0124,3,Promoter,10,I love the new commentator! Great addition to the team.,2024-06-28,2024-06,i love the new commentator great addition to the team,0.8519,positive
